Symbol,Spot,Lot_Size,Near_Expiry,Near_Price,Near_DTE,Near_Premium,Near_Basis_Ann,Near_OI,Near_Vol,Near_BidAsk_bps,Far_Expiry,Far_Price,Far_DTE,Far_Premium,Far_Basis_Ann,Far_OI,Far_Vol,Far_BidAsk_bps,Spread_Raw,Spread_Diff,Theo_Spread,Spread_Deviation,Deviation_Pct,Potential_Gain,Est_Margin,Gain_to_Margin_Pct,Backwardation_Score,Liquidity_Score,DTE_Score,Composite_Score,Is_Backwardation,Classic_Setup,Third_Expiry,Third_Price,Third_DTE,Third_Premium,Third_vs_Far,Third_OI
SHREECEM,23610.0,25,30-MAR-2026,23540.0,9,-70.0,-12.02,401075,32175,6.4,28-APR-2026,23070.0,38,-540.0,-21.97,113925,16400,17.3,-470.0,-470.0,122.44,-592.44,-2.5093,11750.0,117700.0,9.98,65.1,100,100,75.8,True,False,26-MAY-2026,22500.0,66.0,-1110.0,-570.0,2700.0
PAGEIND,32365.0,15,30-MAR-2026,32460.0,9,95.0,11.9,254475,41415,3.1,28-APR-2026,32225.0,38,-140.0,-4.15,21915,9885,23.3,-235.0,-235.0,167.85,-402.85,-1.2447,3525.0,97380.0,3.62,92.4,100,100,73.1,True,True,26-MAY-2026,32115.0,66.0,-250.0,-110.0,1920.0
KEI,4217.0,175,30-MAR-2026,4223.5,9,6.5,6.25,1554525,229425,4.7,28-APR-2026,4166.5,38,-50.5,-11.5,494025,58975,18.0,-57.0,-57.0,21.87,-78.87,-1.8703,9975.0,147822.5,6.75,98.7,100,100,82.2,True,True,26-MAY-2026,4139.0,66.0,-78.0,-27.5,12600.0
AMBER,6710.0,100,30-MAR-2026,6697.0,9,-13.0,-7.86,1141700,130600,11.9,28-APR-2026,6649.0,38,-61.0,-8.73,120900,26900,23.3,-48.0,-48.0,34.8,-82.8,-1.234,4800.0,133940.0,3.58,52.3,100,100,62.0,True,False,26-MAY-2026,6583.0,66.0,-127.0,-66.0,7600.0
ASTRAL,1634.3,425,30-MAR-2026,1629.6,9,-4.7,-11.66,9748650,578000,14.7,28-APR-2026,1584.1,38,-50.2,-29.5,2244425,271150,22.7,-45.5,-45.5,8.48,-53.98,-3.3027,19337.5,138516.0,13.96,73.0,100,100,86.9,True,False,26-MAY-2026,1570.4,66.0,-63.9,-13.7,60350.0
TATAELXSI,4245.5,100,30-MAR-2026,4247.0,9,1.5,1.43,1863700,591000,10.1,28-APR-2026,4203.5,38,-42.0,-9.5,800600,173700,20.9,-43.5,-43.5,22.02,-65.52,-1.5432,4350.0,84940.0,5.12,95.4,100,100,75.7,True,True,26-MAY-2026,4144.9,66.0,-100.6,-58.6,25400.0
PIIND,2914.3,175,30-MAR-2026,2914.2,9,-0.1,-0.14,3040975,224000,7.2,28-APR-2026,2874.0,38,-40.3,-13.28,431725,49175,18.4,-40.2,-40.2,15.11,-55.31,-1.898,7035.0,101997.0,6.9,59.0,100,100,68.1,True,False,26-MAY-2026,2840.8,66.0,-73.5,-33.2,11725.0
DIXON,10330.0,50,30-MAR-2026,10314.0,9,-16.0,-6.28,2594350,366050,4.8,28-APR-2026,10280.0,38,-50.0,-4.65,488750,118300,11.7,-34.0,-34.0,53.57,-87.57,-0.8477,1700.0,103140.0,1.65,48.5,100,100,57.1,True,False,26-MAY-2026,10265.0,66.0,-65.0,-15.0,53550.0
PERSISTENT,4720.0,100,30-MAR-2026,4672.0,9,-48.0,-41.24,4438300,465800,10.1,28-APR-2026,4638.9,38,-81.1,-16.5,1281600,233200,19.2,-33.1,-33.1,24.48,-57.58,-1.2199,3310.0,93440.0,3.54,52.2,100,100,60.8,True,False,26-MAY-2026,4611.6,66.0,-108.4,-27.3,25600.0
SBICARD,686.3,800,30-MAR-2026,664.35,9,-21.95,-129.71,25678400,2032800,6.0,28-APR-2026,632.0,38,-54.3,-76.0,6145600,1168800,10.3,-32.35,-32.35,3.56,-35.91,-5.2323,25880.0,106296.0,24.35,80.0,100,100,94.0,True,False,26-MAY-2026,614.0,66.0,-72.3,-18.0,857600.0
